cell_id,x,y,z,phi0
351,0.265071,0.91663,0.893988,0.0265967
352,0.137204,0.944795,0.752058,0.0214726
353,0.178448,0.559319,0.791037,0.0647477
354,0.0233531,0.953688,0.131429,0.0170115
355,0.919195,0.347487,0.69611,0.0618047
356,0.919195,0.437375,0.690809,0.053982
357,0.702823,0.410377,0.240404,0.130628
358,0.275996,0.60979,0.97173,0.0534253
359,0.657873,0.442127,0.780383,0.126788
360,0.590199,0.944795,0.869741,0.0325617
361,0.0477576,0.651356,0.98372,0.0298795
362,0.46847,0.42649,0.943461,0.100715
363,0.15714,0.45278,0.85496,0.0659796
364,0.062589,0.331905,0.784621,0.0548265
365,0.316948,0.31428,0.844306,0.166646
366,0.881093,0.774236,0.0299602,0.0257481
367,0.49047,0.130436,0.0599203,0.739049
368,0.83899,0.197087,0.343573,0.100869
369,0.881606,0.346241,0.322265,0.0919843
370,0.572642,0.761744,0.247688,0.0529778
371,0.489328,0.406041,0.97173,0.121105
372,0.821182,0.17378,0.0599203,0.0838116
373,0.167794,0.143817,0.332919,0.0766583
374,0.519373,0.324934,0.876268,0.176231
375,0.713513,0.170737,0.943461,0.138239
376,0.0790521,0.643163,0.95545,0.0326683
377,0.418638,0.77583,0.915191,0.0410576
378,0.530027,0.356895,0.865614,0.174413
379,0.876974,0.0612547,0.752085,0.057247
380,0.172572,0.815218,0.662999,0.0333856
381,0.15714,0.410165,0.876268,0.0738162
382,0.135832,0.793705,0.215726,0.0337808
383,0.764413,0.378203,0.354227,0.12052
384,0.409168,0.0306273,0.594172,0.566941
385,0.919195,0.16274,0.34352,0.0591094
386,0.32791,0.358402,0.915191,0.132545
387,0.117789,0.115584,0.0299602,0.0411773
388,0.554754,0.0306273,0.922722,1.55176
389,0.638899,0.4743,0.155173,0.129602
390,0.681515,0.516916,0.240404,0.102718
391,0.253025,0.143817,0.41815,0.166996
392,0.732451,0.388857,0.599266,0.11736
393,0.94613,0.368773,0.677138,0.0578686
394,0.146486,0.868283,0.844306,0.0233841
395,0.714361,0.835708,0.943461,0.0332448
396,0.54068,0.559319,0.833652,0.104592
397,0.328414,0.917193,0.222043,0.0335755
398,0.973065,0.293321,0.696893,0.0531881
399,0.743105,0.69782,0.695152,0.0477631
400,0.94613,0.871075,0.58753,0.0228307
